Data Komentar Balasan (Edge/Reply Nodes),,,,,,,,,,,,,
ID Unik,Jenis Konten,Tautan Konten,Username,Teks Konten,Sentimen,Jumlah Views,Jumlah Likes,Jumlah Komentar,Jumlah Shares,Tahun,Balasan ID Komentar,Platform,Lokasi
T141,Komentar Balasan,https://vt.tiktok.com/ZSPPU6CX2/,carsique,"@carsique: adek gua ipk cumlaude, perguruan tinggi negri,sering ikut lomba/olimpiade, aktif organisasi sana sini tp msh nganggur sampe skrg. ini perusahaan2 mau cari spek yg kaya gimana sih bingung sendiri gua",,,99,25,,2023,T23,TikTok,Indonesia
T142,Komentar Balasan,https://vt.tiktok.com/ZSPPU6CX2/,bhijizakir,@bhijizakir: aku 3 tahun nganggur bang😭 udah ngelamar kemana2 belum ada panggilan,,,28,6,,2023,T23,TikTok,Indonesia
T143,Komentar Balasan,https://vt.tiktok.com/ZSPPyyvXR/,Pokémon,"@Pokémon: Di angka 673.000 ada gw coyy,Susah nyri kerja di negara sendiri",,,750,17,,2023,T24,TikTok,Indonesia
T144,Komentar Balasan,https://vt.tiktok.com/ZSPPyyvXR/,farid.,@farid.: bedanya intern sama magang apa sihh?,,,435,14,,2023,T24,TikTok,Indonesia
T145,Komentar Balasan,https://vt.tiktok.com/ZSPPyyvXR/,Bimm,@Bimm: orang dalam solusinya,,,314,3,,2023,T24,TikTok,Indonesia
T146,Komentar Balasan,https://vt.tiktok.com/ZSPPyyvXR/,prtm20,"@prtm20: bener banget, diloker tertulis fresh graduate dipersilahkan tapi dibutuh yang pengalaman 2 tahun, gimana ini😂",,,198,8,,2023,T24,TikTok,Indonesia
T147,Komentar Balasan,https://vt.tiktok.com/ZSPPfF4Ek/,yes i do,@yes i do: lokernya aja maksimal 25thun. yg diatas itu udh susah cari kerja,,,65,10,,2023,T25,TikTok,Indonesia
T148,Komentar Balasan,https://vt.tiktok.com/ZSPPfF4Ek/,jshsjdnke,@jshsjdnke: lokernya juga jaman sekarang syaratnya ga kira2,,,38,5,,2023,T25,TikTok,Indonesia
T149,Komentar Balasan,https://vt.tiktok.com/ZSPPfF4Ek/,ndoy rezky,@ndoy rezky: kebetulan lg nganggur udah 3 bulan. umur otw 33 😔,,,4,2,,2023,T25,TikTok,Indonesia
T150,Komentar Balasan,https://vt.tiktok.com/ZSPPfF4Ek/,Tama Utama ✔,@Tama Utama ✔: umur 25 udh susah dapet kesempatan kerja 😂,,,1,2,,2023,T25,TikTok,Indonesia
T151,Komentar Balasan,https://vt.tiktok.com/ZSPPPJd3F/,intan,@intan: emng boleh pengangguran sesantai ini😭😭😭,,,6734,89,,2023,T26,TikTok,Indonesia
